"Date","Year","Month","Time","Hour","Street1","Street2","AtFault","SecondVehicle","Fatalities","Violation","HitRun","County","City","Lighting","RoadSurface","Injured"
"2009-12-30","2009","December","18:42",18,"Newark Bl","Mayhews Landing Rd","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Alameda","Newark","Dark - Street Lights","Dry",1
"2009-12-30","2009","December","17:54",17,"Powell","North Point Dr","Auto","Bicyclist",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-30","2009","December","14:31",14,"Sonoma Bl","Yolano Dr","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Solano","Vallejo","Daylight","Dry",1
"2009-12-30","2009","December","14:12",14,"Wilkinson Av","Hyannisport Dr","Bicyclist","Parked_Auto",0,"Improper Turning",FALSE,"Santa Clara","Cupertino","Daylight","Dry",1
"2009-12-30","2009","December","12:50",12,"13th Av","Foothill Bl","Bicyclist","Auto",0,"Improper Turning",FALSE,"Alameda","Oakland","Daylight","Dry",1
"2009-12-30","2009","December","8:34",8,"San Fernando","3rd St","Auto","Bicyclist",0,"Improper Turning",TRUE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-29","2009","December","19:08",19,"Hayes St","Larkin St","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Wet",0
"2009-12-29","2009","December","18:30",18,"Barrett Av","27th St","Bicyclist","Auto",0,"Improper Turning",FALSE,"Contra Costa","Richmond","Dark - Street Lights","Dry",1
"2009-12-29","2009","December","16:14",16,"South El Camino Real","43rd Av","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"San Mateo","San Mateo","Daylight","Wet",1
"2009-12-29","2009","December","11:15",11,"California St","Fillmore St","Parked_Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-29","2009","December","10:44",10,"Haste St","Telegraph Av","No_Fault","Bicyclist",0,"Unknown",FALSE,"Alameda","Berkely","","",1
"2009-12-28","2009","December","12:43",12,"El Camino Real","Creek Dr","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"San Mateo","Menlo Park","Daylight","Dry",1
"2009-12-27","2009","December","18:28",18,"School St","Capp St","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Alameda","Oakland","Daylight","Dry",0
"2009-12-27","2009","December","18:27",18,"Post St","Webster","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-27","2009","December","15:55",15,"Pleasants Valley Rd","Mix Canyon Rd","Auto","Bicyclist",0,"Unsafe Speed",TRUE,"Solano","Solano Sherrif's Code","Daylight","Dry",1
"2009-12-27","2009","December","9:11",9,"Kezar Dr","John F Kennedy Dr","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"San Francisco","San Francisco","Daylight","Wet",1
"2009-12-26","2009","December","19:33",19,"Solano Wy","Grant St","Bicyclist","Auto",0,"Other Hazardous Violation",FALSE,"Contra Costa","Concord","Dark - Street Lights","Wet",1
