"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"1","Aaron Brooks",2e+06,"PG",73,161,10,34,77,5,6,24,23,3,2,8,19,85,"CHI"
"2","Aaron Gordon",4171680,"PF",81,220,14,43,94,28,41,71,19,9,17,15,34,119,"ORL"
"3","Aaron Harrison",525093,"G",78,210,1,0,0,0,0,1,0,0,0,0,0,0,"CHO"
"4","Adreian Payne",1938840,"PF",82,237,9,16,32,3,4,26,5,3,2,12,21,38,"MIN"
"5","Al-Farouq Aminu",7500000,"SF",81,215,16,67,172,36,47,122,29,9,15,31,42,195,"POR"
"6","Al Horford",1.2e+07,"C",82,245,16,110,218,21,23,111,50,11,27,25,23,261,"ATL"
"7","Al Jefferson",13833333,"C",82,289,14,94,184,19,32,90,28,11,17,12,35,207,"CHO"
"8","Alec Burks",9213484,"SG",78,214,13,64,156,56,67,47,28,12,2,26,36,198,"UTA"
"9","Alex Len",3807120,"C",85,260,14,28,60,21,31,63,4,6,8,18,24,77,"PHO"
"10","Alexis Ajinca",4300000,"C",86,248,13,29,56,7,7,51,4,4,7,9,29,65,"NOP"
"11","Allen Crabbe",947276,"SG",78,210,16,53,110,11,13,34,17,11,2,12,42,132,"POR"
"12","Alonzo Gee",1375000,"SF",78,225,14,22,48,3,3,48,11,17,3,15,36,49,"NOP"
"13","Amar'e Stoudemire",1499187,"C",82,245,2,5,7,2,2,4,1,0,0,1,2,12,"MIA"
"14","Amir Johnson",1.2e+07,"PF",81,240,14,43,77,15,24,73,21,11,15,20,32,104,"BOS"
"15","Anderson Varejao",9638554,"C",82,273,12,14,29,6,9,35,5,2,2,6,10,34,"CLE"
"16","Andre Drummond",3272091,"C",83,279,14,107,199,40,91,247,12,24,19,35,48,254,"DET"
"17","Andre Iguodala",11710456,"SG",78,207,16,58,108,10,18,74,67,23,3,17,29,146,"GSW"
"18","Andre Miller",1499187,"PG",75,200,7,13,23,3,4,11,23,6,0,10,15,29,"MIN"
"19","Andre Roberson",1210800,"SG",79,210,14,28,63,7,12,44,11,9,8,5,29,72,"OKC"
"20","Andrea Bargnani",1362900,"C",85,245,14,34,83,12,13,26,2,1,3,10,24,82,"BRK"
"21","Andrew Bogut",1.2e+07,"C",85,260,10,33,49,5,10,69,24,6,17,13,32,71,"GSW"
"22","Andrew Nicholson",2380594,"PF",81,250,5,11,28,3,3,18,1,1,1,3,9,30,"ORL"
"23","Andrew Wiggins",5758680,"SG",80,199,13,101,233,78,104,47,26,8,9,28,23,290,"MIN"
